Country Name,CoHD,CoHD_pov,CoHD_headcount,CoHD_unafford_n,Population,Annual Growth Rate %,Total Fertility Rate,"Life Expectancy at Birth, Both Sexes",Net Migration Rate
Albania,3.952,3.992,37.8,1.1,3055278,0.305,1.5117,78.83,-3.27
Algeria,3.763,3.801,35.2,14.6,40952312,1.697,2.7042,76.96,-0.89
Angola,4.327,4.371,92.9,27.7,29310737,3.523,6.1609,60.2,0.22
Anguilla,3.717,3.755,,,17057,1.964,1.7277,81.36,11.73
Antigua and Barbuda,4.112,4.154,,,94537,1.22,1.997,76.43,2.16
Argentina,3.341,3.375,11,4.8,44292731,0.912,2.264,77.26,-0.1
Armenia,3.096,3.127,40.9,1.2,3045086,-0.213,1.6413,74.86,-5.66
Aruba,3.418,3.453,,,115121,1.288,1.834,76.86,8.69
Australia,2.259,2.282,0.7,0.2,24370179,1.574,1.74,82.57,9.92
Austria,2.772,2.8,0.6,0.1,8752360,0.462,1.4722,81.57,4.75
Azerbaijan,2.348,2.372,0,0,9961850,0.874,1.894,72.76,0
"Bahamas, The",4.276,4.319,,,340519,0.898,1.9947,74.33,0
Bahrain,3.379,3.413,,,1410746,2.257,1.7459,79.03,12.07
Bangladesh,2.882,2.911,77.4,123.7,157720078,1.033,2.17,73.41,-3.05
Barbados,,,,,298086,0.352,1.7045,77.54,-0.29
Belarus,3.177,3.209,0.8,0.1,9541820,-0.234,1.4826,72.87,0.71
Belgium,2.862,2.891,0.3,0,11482059,0.688,1.7807,80.98,5.42
Belize,2.476,2.501,39.4,0.1,378270,1.856,2.85,74.33,-0.42
Benin,3.55,3.586,90.7,10.1,11612447,3.433,5.6423,60.2,0.32
Bermuda,4.072,4.113,,,70928,0.451,1.9334,81.24,1.76
Bhutan,4.383,4.427,57.6,0.4,824209,1.095,1.9,70.64,0
Bolivia,3.551,3.587,30.2,3.4,11289476,1.498,2.709,73.06,-1.03
Bonaire,,,,,,,,,
Bosnia and Herzegovina,3.847,3.886,4.6,0.2,3853839,-0.164,1.2999,76.91,-0.38
Botswana,3.622,3.659,63.8,1.4,2214659,1.546,2.564,63.32,3.03
Brazil,2.809,2.837,18.3,38.1,209969058,0.814,1.78,75.68,-0.11
British Virgin Islands,3.235,3.268,,,,,,,
Brunei Darussalam,4.126,4.168,,,,,,,
Bulgaria,3.78,3.818,11.3,0.8,7100884,-0.617,1.4645,74.65,-0.29
Burkina Faso,3.173,3.205,85.1,16.3,19198909,2.821,4.9,61.41,-0.69
Burundi,2.988,3.018,97.5,10.6,10951667,2.342,5.3811,65.41,-6.61
Cabo Verde,3.358,3.392,42.1,0.2,560017,1.318,2.238,72.37,-0.61
Cambodia,3.618,3.655,,,15660221,1.548,2.5433,69.46,-2.04
Cameroon,2.616,2.642,60.9,15,25555473,2.56,4.75,60.38,-2.31
Canada,2.863,2.892,0.7,0.3,36731939,0.855,1.5467,83.47,5.87
Cayman Islands,2.928,2.958,,,58401,2.031,1.8467,81.15,13.84
Central African Republic,3.423,3.458,95.4,4.4,5041175,0.981,4.302,52.79,-11.67
Chad,2.831,2.86,84.9,12.8,15326202,3.266,6.01,57.04,-0.15
Chile,3.053,3.084,3.4,0.6,17786791,0.769,1.8,78.88,0.34
China,2.571,2.597,14.3,199.3,1389787047,0.516,1.62,77.29,-0.14
Colombia,2.863,2.892,24.7,12.1,45744428,0.8,1.9624,78,-2.64
Comoros,,,,,813477,1.647,3.34,65.66,-2.43
"Congo, Dem. Rep.",2.921,2.951,96.4,78.5,"	92453955",3.255,5.962,59.54,-0.58
"Congo, Rep.",3.343,3.377,91.6,4.7,4954490,2.114,4.588,59.81,-3.78
Costa Rica,3.961,4.001,16.2,0.8,4928413,1.165,1.8913,78.64,0.81
Cote d'Ivoire,3.273,3.306,76.5,18.7,25652685,2.324,3.91,59.51,1.32
Croatia,4.168,4.21,7.2,0.3,4292667,-0.493,1.401,76.08,-1.67
Curacao,2.866,2.895,,,,,,,
Cyprus,2.846,2.875,0.1,0,1221929,1.329,1.4677,78.8,8.7
Czech Republic,2.899,2.928,0.4,0,10671766,0.113,1.4527,78.79,2.33
Denmark,2.376,2.4,0.2,0,5773404,0.658,1.7847,80.92,5.02
Djibouti,2.797,2.825,64.6,0.6,863611,2.144,2.31,63.56,5.65
Dominica,4,4.04,,,74228,0.162,2.032,77.4,-5.33
Dominican Republic,3.521,3.557,21.2,2.2,10195531,1.011,2.294,70.96,-2.56
East Asia & Pacific,3.7,,24.6,553.2,,,,,
Ecuador,2.788,2.816,18.9,3.2,16281498,1.28,2.186,76.91,0
"Egypt, Arab Rep.",3.457,3.492,76.2,73.5,97583808,2.36,3.5938,73.1,-0.16
El Salvador,,,,,6303924,1.059,2.1157,74.13,-2.6
Equatorial Guinea,3.526,3.562,,,1381721,4.353,4.6154,63.2,20
Estonia,3.125,3.157,1,0,1251222,-0.574,1.5988,76.81,-3.14
Eswatini,3.428,3.463,74.8,0.8,1077731,0.852,2.688,56.46,-6.67
Ethiopia,3.108,3.139,88.3,94,99963283,2.736,4.3525,66.11,0.72
Europe & Central Asia,2.954,,4,32.7,,,,,
Fiji,3.612,3.648,51.5,0.5,920176,0.593,2.406,72.9,-6.52
Finland,2.545,2.571,0.1,0,5519372,0.357,1.7469,81.08,2.88
France,2.936,2.966,0.1,0,67126156,0.388,2.0692,81.98,1.08
Gabon,3.358,3.392,36,0.7,2060138,2.885,3.57,67.37,8.69
"Gambia, The",2.942,2.972,69.2,1.5,2134985,2.614,4.483,65.65,-0.05
Germany,2.786,2.814,0.2,0.2,84123624,0.263,1.5721,81.5,4.24
Ghana,3.767,3.805,64.4,18.8,29479431,2.427,3.8838,67.4,0.3
Greece,3.037,3.068,4.3,0.5,10698002,-0.272,1.3585,80.83,0.53
Grenada,5.382,5.436,,,111800,0.438,2.02,74.61,-2.92
Guinea,3.655,3.692,94.3,11.4,11534259,2.741,5.01,61.61,0
Guinea-Bissau,3.164,3.196,87.4,1.6,1788559,2.453,4.846,60.62,-4.11
Guyana,4.629,4.676,47.8,0.4,784722,0.009,2.14,70.58,-9.63
Haiti,3.93,3.97,82.7,9.1,10643145,1.329,2.724,64.2,-2
High income,3.138,,1.5,17.4,,,,,
Honduras,3.36,3.394,53.7,5.1,8876162,1.453,2.3,73.91,-0.96
"Hong Kong SAR, China",3.659,3.696,,,,,,,
Hungary,3.302,3.335,3.3,0.3,9835682,-0.255,1.4459,75.99,1.3
Iceland,2.213,2.235,0,0,339755,1.127,2,83.08,3.96
India,2.824,2.853,74.9,1002.5,1327127431,1.093,2.2052,70.6,-0.2
Indonesia,4.129,4.171,70.7,187.2,265708968,0.928,2.185,71.73,-0.97
"Iran, Islamic Rep.",3.005,3.035,12,9.6,82046494,1.253,1.9657,74.29,-0.16
Iraq,3.378,3.412,53.3,20,36345459,2.218,3.636,70.09,-0.64
Ireland,2.397,2.421,0.3,0,5009156,1.145,1.9691,80.88,3.99
Israel,2.436,2.461,1.7,0.2,8280728,1.519,2.644,82.34,2.17
Italy,2.885,2.914,2.9,1.7,61498899,-0.004,1.2456,82.38,3.06
Jamaica,5.975,6.035,64.7,1.9,2813518,-0.012,2.1,74.16,-9.09
Japan,5.529,5.585,2.5,3.2,126215286,-0.215,1.43,84.09,0.75
Jordan,3.412,3.446,15.8,1.6,10247507,2.047,3.19,74.79,0
Kazakhstan,2.391,2.415,1.5,0.3,18549665,1.035,2.25,71.1,0.41
Kenya,2.846,2.875,83.5,41.9,50035005,2.29,3.67,67.62,-0.38
"Korea, Rep.",4.712,4.76,1.7,0.9,51134612,0.366,1.052,82.46,2.73
Kuwait,3.344,3.378,,,2876506,1.46,2.4027,78.18,-2.44
Kyrgyz Republic,2.97,3,56.6,3.5,,,,,
Lao PDR,3.776,3.814,80.6,5.6,,,,,
Latin America & Caribbean,3.619,,22.4,126.8,,,,,
Latvia,3.124,3.156,3.4,0.1,1945078,-1.065,1.5142,74.71,-5.89
Lesotho,3.77,3.808,80.2,1.7,2114641,0.811,3.112,55.98,-3.57
Liberia,4.018,4.059,97.1,4.6,4688786,2.498,5.056,63.28,-5.65
Lithuania,3.003,3.033,3.6,0.1,2825940,-1.028,1.5931,74.91,-5.62
Low income,3.084,,90.2,425.6,,,,,
Lower middle income,3.398,,71.5,2205,,,,,
Luxembourg,2.492,2.517,0.4,0,594319,1.982,1.6165,82.48,15.51
Madagascar,2.987,3.017,97.1,24.8,25009416,2.494,4.032,66.6,0
Malawi,2.724,2.752,95.5,16.9,18365567,2.643,4.022,70.97,-0.29
Malaysia,3.224,3.257,2.6,0.8,32040544,1.219,1.9203,75.53,1.56
Maldives,3.581,3.617,4.2,0,392156,-0.086,1.728,75.8,-12.71
Mali,2.9,2.929,80.1,14.8,17885069,3.018,6.0062,60.33,-3.86
Malta,3.494,3.529,0.3,0,444458,1.066,1.4684,82.59,8.35
Mauritania,3.451,3.486,62.9,2.7,3752599,2.155,3.86,63.4,-0.8
Mauritius,3.313,3.346,14.8,0.2,1300376,0.19,1.3624,76.2,-1.42
Mexico,2.993,3.023,26.1,32.6,124883590,1.018,1.9894,74.83,-0.75
Middle East & North Africa,3.14,,38.7,130.4,,,,,
Moldova,2.46,2.485,5.9,0.2,3469042,-1.049,1.5676,70.89,-9.4
Mongolia,4.544,4.59,55.3,1.7,3067699,1.182,2.085,69.89,-0.81
Montenegro,3.397,3.431,17.4,0.1,616284,-0.325,1.8312,76.69,-4.88
Montserrat,4.883,4.932,,,5283,0.435,1.2834,74.6,0
Morocco,2.71,2.737,18.9,6.7,34968788,1.071,2.3995,72.33,-1.83
Mozambique,3.031,3.062,91.3,26.2,27809390,2.648,5.2,53.91,-1.84
Myanmar,3.706,3.743,68.1,36.3,55125262,0.916,2.166,68.17,-1.54
Namibia,3.255,3.288,54.4,1.3,2484586,1.946,3.2856,64,0
Nepal,4.127,4.169,86.8,24,29313646,1.091,2.122,70.97,-2.88
Netherlands,2.743,2.771,0.4,0.1,17079084,0.39,1.78,81.43,1.93
New Zealand,2.671,2.698,,,4700525,1.74,1.8906,81.81,11.65
Nicaragua,3.191,3.223,32.2,2.1,6011584,0.97,1.892,73.46,-2.75
Niger,2.85,2.879,91.1,19.7,20388375,3.644,7.3,58.13,-0.87
Nigeria,3.565,3.601,94.1,179.7,198312085,2.544,4.918,58.69,-0.21
North America,3.386,,1.9,6.8,,,,,
North Macedonia,3.318,3.352,21.8,0.5,2114687,0.204,1.4801,75.7,0.85
Norway,3.325,3.359,0.5,0,5318850,1.001,1.8524,81.87,5.9
Oman,2.815,2.843,,,3415807,2.021,2.8186,75.7,-0.43
Pakistan,3.408,3.442,79.7,165.7,219176700,2.147,3.8344,68.13,-0.95
Panama,4.225,4.268,21.1,0.9,3932333,2.481,2.5193,78.47,10.66
Paraguay,3.43,3.465,20.1,1.4,6940221,1.178,1.9037,77.29,-0.07
Peru,3.084,3.115,23.7,7.5,30282393,0.412,2.362,76.9,-9.33
Philippines,3.843,3.882,71,74.6,104862154,1.553,2.7879,70.78,-1.07
Poland,2.909,2.938,1,0.4,38469803,-0.138,1.3482,77.75,-0.41
Portugal,2.513,2.538,1.1,0.1,10370571,-0.278,1.3768,80.77,-0.52
Qatar,2.375,2.399,,,2316205,2.28,1.913,78.82,14.52
Romania,2.921,2.951,11.9,2.3,19558508,-0.916,1.8328,75.61,-6.71
Russian Federation,3.149,3.181,4,5.7,143150610,-0.088,1.601,71.06,1.69
Rwanda,2.609,2.635,89,10.7,11899254,2.447,3.868,64.26,0.17
Sao Tome and Principe,3.288,3.321,84.4,0.2,200744,1.706,4.252,65.36,-8.34
Saudi Arabia,3.441,3.476,,,32567388,1.699,2.1135,75.48,3.93
Senegal,2.19,2.212,53,8.2,15652205,2.956,4.8064,68.42,-0.08
Serbia,4.07,4.111,29,2,6978391,-0.556,1.4605,74.9,0
Seychelles,4.01,4.051,8.8,0,93595,0.792,1.854,74.64,0.98
Sierra Leone,2.842,2.871,91.1,6.8,7591774,2.934,4.3342,56.75,3.93
Singapore,2.775,2.803,,,5637272,1.058,1.16,85.23,4.43
Sint Maarten (Dutch part),4.462,4.507,,,,,,,
Slovak Republic,3.013,3.043,2,0.1,5445176,-0.009,1.4115,77.26,0.11
Slovenia,2.798,2.826,0.1,0,2101369,0.039,1.5765,81.05,0.76
South Africa,4.102,4.143,65.2,37.2,54821014,0.985,2.286,63.82,-0.93
South Asia,3.558,,75.6,1327.5,,,,,
Spain,2.699,2.726,1.9,0.9,46268801,0.285,1.3738,82.71,3.53
Sri Lanka,3.702,3.739,52.3,11.2,22410749,0.769,2.0673,76.94,-1.31
St. Kitts and Nevis,2.998,3.028,,,,,,,
St. Lucia,3.263,3.296,20.2,0,164584,0.326,1.748,77.75,-2.45
St. Vincent and the Grenadines,4.131,4.173,,,,,,,
Sub-Saharan Africa,3.249,,86.2,872.2,,,,,
Sudan,3.674,3.711,86.3,35.2,41818056,3.17,4.9133,65.43,4.2
Suriname,4.969,5.019,57.6,0.3,595019,1.325,1.9918,72.88,2.7
Sweden,3.086,3.117,0.5,0.1,10094338,1.211,1.7714,82.46,9.79
Switzerland,2.523,2.548,0,0,8231519,0.683,1.5567,82.58,4.68
"Taiwan, China",3.99,4.03,0.2,0.1,23520367,0.141,1.125,80.39,0.37
Tajikistan,3.027,3.058,42.9,3.8,8458972,1.602,2.63,67.84,-1.11
Tanzania,2.598,2.624,88.7,48.5,55303380,3.065,4.7875,67.32,0.49
Thailand,3.971,4.011,17.5,12.1,68607190,0.375,1.5291,76.41,0.27
Togo,,,,,7471768,2.642,4.48,69.24,-2.05
Trinidad and Tobago,3.928,3.968,10.7,0.1,1364964,0.433,1.6797,74.73,0.27
Tunisia,3.476,3.511,21.8,2.5,11403062,1.012,2.23,75.66,-1.71
Turkey,2.873,2.902,6.9,5.6,80808069,0.531,2.014,74.92,-4.53
Turks and Caicos Islands,2.809,2.837,,,52711,2.184,1.7,80.77,9.49
Uganda,2.749,2.777,84.8,34.9,39184992,4.238,5.804,66.71,4.05
United Arab Emirates,2.755,2.783,0,0,9543192,1.071,1.6906,78.59,1.1
United Kingdom,1.822,1.84,0.5,0.3,65783069,0.672,1.7559,81.28,4.33
United States,3.225,3.258,2,6.5,324985539,0.63,,,2.5
Upper middle income,3.524,,16.5,401.2,,,,,
Uruguay,3.073,3.104,2.7,0.1,3362462,0.269,1.8,77.44,-0.89
Vietnam,3.586,3.622,32.4,30.7,98482273,1.121,2.04,74.61,-0.27
West Bank and Gaza,3.342,3.376,25.4,1.1,,,,,
World,3.314,,42.9,3049.1,,,,,
Zambia,3.085,3.116,87.6,14.8,16920529,3.085,4.9035,64.49,0.79
Zimbabwe,3.456,3.491,84.1,12,13805081,1.554,3.984,60.37,-8.45
